created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Sep 24 15:25:24 +0000 2022;1573695100034887680;"Pengamat Politik: Tito Karnavian Diduga Persiapkan Rekayasa Pemilu 2024 https://t.co/K6Yy5yHo40";59;299;993;3029;in;30201110;1573695100034887680;alisyarief;https://twitter.com/alisyarief/status/1573695100034887680
Sat Sep 24 14:36:18 +0000 2022;1573682742809985025;"Akankah @NasDem  berkolaborasi dgn mereka di pemilu 2024? https://t.co/QZWi35zNcx";92;260;455;1151;in;1484825719524196356;1573682742809985025;kangwaqfi2;https://twitter.com/kangwaqfi2/status/1573682742809985025
Fri Sep 23 13:38:29 +0000 2022;1573305805436497921;"Target Khilafah 2024 menang Pemilu, 2030 Pancasila Ganti Dgn Khilafah. Pertanyaan nya : Apakah KPU Memberi Ruang Kepada Capres Yg Beraliran Identitas Khilafah ??? https://t.co/cGeJFIwu74";22;164;99;382;in;1481102448446283776;1573305805436497921;JulBayur3;https://twitter.com/JulBayur3/status/1573305805436497921
Fri Sep 23 09:06:38 +0000 2022;1573237394593427457;"https://t.co/2wSei3wP7T Mental LBH mereka segitu. Jawa diuntungkan sistem pemilu Popular Vote ( One People, One Vote, One Value) tetapi UU rubah ke Sistem Pemilu Electoral Collage maka semua punya kesempatan. Kalau Jawa terus sy minta silakan Jawa Merdeka Sendiri saja. @jokowi";66;411;298;1384;in;1041255648653062145;1573237394593427457;NataliusPigai2;https://twitter.com/NataliusPigai2/status/1573237394593427457
Fri Sep 23 05:03:25 +0000 2022;1573176186871885824;"Pengamat Politik: Tito Karnavian Diduga Persiapkan Rekayasa Pemilu 2024 https://t.co/K6Yy5yHo40";85;322;1143;3415;in;30201110;1573176186871885824;alisyarief;https://twitter.com/alisyarief/status/1573176186871885824
Fri Sep 23 00:46:42 +0000 2022;1573111578794528768;"Buntut Pidato Sebut Bakal Ada Kecurangan di Pemilu 2024, SBY dan AHY Dilaporkan ke Bareskim https://t.co/yHj3Jox6Ek";128;859;147;544;in;887743587579944960;1573111578794528768;OposisiCerdas;https://twitter.com/OposisiCerdas/status/1573111578794528768
Thu Sep 22 21:51:46 +0000 2022;1573067555509501958;"Ganjar Pranowo berpotensi mendongkrak elektoral PDIP di Pemilu 2024 jika PDIP mengusung Ganjar menjadi calon presiden 2024. https://t.co/8aiuqa82Cq";43;183;98;480;in;69183155;1573067555509501958;detikcom;https://twitter.com/detikcom/status/1573067555509501958
Thu Sep 22 11:06:58 +0000 2022;1572905287602016258;"Pengamat Politik: Tito Karnavian Diduga Persiapkan Rekayasa Pemilu 2024 https://t.co/K6Yy5yHo40";104;534;1504;4476;in;30201110;1572905287602016258;alisyarief;https://twitter.com/alisyarief/status/1572905287602016258
Thu Sep 22 06:19:57 +0000 2022;1572833056565891072;"Maksudnya : Curang itu biasa ??????? 🥹🥹🥹Mahfud Respons Pemilu 2024 Tak Jujur: Zaman SBY Juga Banyak Kecurangan https://t.co/gwQ10UQsAs";73;641;658;2727;in;2606229566;1572833056565891072;susipudjiastuti;https://twitter.com/susipudjiastuti/status/1572833056565891072
Wed Sep 21 11:39:09 +0000 2022;1572551001030422528;"Rizal Fadillah: Diduga, Tito Karnavian Mempersiapkan Rekayasa Pemilu 2024 https://t.co/XP9kCE4bkf";81;264;1125;3056;in;1226436091617505281;1572551001030422528;keuangannews_id;https://twitter.com/keuangannews_id/status/1572551001030422528
